Drupal Field Name,Field Definition,Format Guidelines,WordPress Field Name,WordPress Field Type,Dublin Core Equivalent,Controlled Vocabulary / Standard,Notes
Title,Established name of the art historian.,"• Form that appears in English. 
• As listed in Oxford Dictionary of National Biography or other reference(s) or version most published.
• [Last, First Middle], e.g. ""Miller, Dorothy Canning"". • If only first initial(s) is/are given: [Last, F.], e.g. ""Miller, D."" or ""Miller, D. C."".
• If no middle name is given: [Last, First], e.g. ""Miller, Dorothy"". 
• If only a middle initial is given: [Last, First M.], e.g. ""Miller, Dorothy C.""
• If only one name is given: [Name], e.g. ""Aristotle"".",title,Plain Text,title,n/a,
Full Name,Established name of the art historian.,"• Form that appears in English. 
• As listed in Oxford Dictionary of National Biography or other reference(s) or version most published.
• [Last, First Middle], e.g. ""Miller, Dorothy Canning"". • If only first initial(s) is/are given: [Last, F.], e.g. ""Miller, D."" or ""Miller, D. C."".
• If no middle name is given: [Last, First], e.g. ""Miller, Dorothy"". 
• If only a middle initial is given: [Last, First M.], e.g. ""Miller, Dorothy C.""
• If only one name is given: [Name], e.g. ""Aristotle"".",full_name,Plain Text,title,n/a,
Other Names,"Art historian's translations, aliases, sobriquets, variations, etc. One name per field.",[First Middle Last],other_names,Plain Text (repeatable),title,n/a,
Birth Approximation,"For entering modifiers such as c., fl., before, after, etc.","• Use ""c."" for ""circa"" if exact date or year is uncertain, e.g. [c. 1800]. 
• If an artist is known to have been born or died before or after a specific date, use ""before,"" e.g. [before 1660] or ""after,"" e.g. [after 1660] to indicate this.
• If a birth date is not available but an active date is, use ""fl."" for ""flourished, e.g. [fl. 1550]. 
• If a year falls prior to the common era (C.E. or A.D.), format the date as YYYY B.C.E., e.g. [500 B.C.E.].",birth_approximation,Plain Text,date,n/a,
Birth Day(s),Day the art historian was born.,"[DD], e.g. ""01"" or ""13"". If a range, [DD-DD], e.g. ""01-04"". If unknown, leave blank.",birth_days,Plain Text,date,n/a,
Birth Month(s),Month the art historian was born.,"[Month], e.g. ""January"". If a range is known: [Month-Month], e.g. ""March-April"". If unknown, leave blank.",birth_months,Plain Text,date,n/a,
Birth Year(s),Year the art historian was born.,"[YYYY], e.g. ""1901"". Use ""c."" for ""circa"" if exact date or year is uncertain, e.g. ""c. 1800"". If an artist is known to have been born or died before or after a specific date, use ""before,"" e.g. “before 1660” or ""after,"" e.g. “after 1660” to indicate this. If a birth date is not available but an active date is, use ""fl."" for ""flourished, e.g. “fl. 1550”. If a year falls prior to the common era (C.E. or A.D.), format the date as [YYYY B.C.E.], e.g. “500 B.C.E.” If a birth or death date is not known or not found in existing documentation, enter ""unknown"" in the year field. If a date is disputed in sources, include the date range and an explanation of different dates and their sources in the Overview and/or Notes fields.",birth_years,Plain Text,date,n/a,
Death Approximation,"For entering modifiers such as c., fl., before, after, etc.","• Use ""c."" for ""circa"" if exact date or year is uncertain, e.g. [c. 1800]. 
• If an artist is known to have been born or died before or after a specific date, use ""before,"" e.g. [before 1660] or ""after,"" e.g. [after 1660] to indicate this.
• If a birth date is not available but an active date is, use ""fl."" for ""flourished, e.g. [fl. 1550]. 
• If a year falls prior to the common era (C.E. or A.D.), format the date as YYYY B.C.E., e.g. [500 B.C.E.].",death_approximation,Plain Text,date,n/a,
Death Day(s),Day the art historian died.,"[DD], e.g. ""01"" or ""13"". If a range, [DD-DD], e.g. ""01-04"". If unknown, leave blank.",death_days,Plain Text,date,n/a,
Death Month(s),Month the art historian died.,"[Month], e.g. ""January"". If a range is known: [Month-Month], e.g. ""March-April"". If unknown, leave blank.",death_months,Plain Text,date,n/a,
